grad,board_index,board_number,board_line,step,correct_move,correct_rank,candidate_count,correct_score,best_move,best_score,score_gap,correct_in_top_2,correct_in_top_4,correct_in_top_10,correct_was_legal,correct_was_pruned_softlock,correct_was_loss,solved_after_step
17,176,177,67175,20,R,1,2,2.3333333333333335,R,2.3333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,21,D,3,3,1.0,L,2.0,1.0,False,True,True,True,False,False,False
17,176,177,67175,22,D,2,2,0.6666666666666666,U,2.3333333333333335,1.666666666666667,True,True,True,True,False,False,False
17,176,177,67175,23,D,1,4,2.3333333333333335,D,2.3333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,24,L,1,2,3.6666666666666665,L,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,176,177,67175,25,L,1,3,3.6666666666666665,L,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,176,177,67175,26,D,3,3,0.6666666666666666,L,2.3333333333333335,1.666666666666667,False,True,True,True,False,False,False
17,176,177,67175,27,L,2,2,2.3333333333333335,U,3.6666666666666665,1.333333333333333,True,True,True,True,False,False,False
17,176,177,67175,28,U,1,3,3.6666666666666665,U,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,176,177,67175,29,U,1,4,2.3333333333333335,U,2.3333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,30,L,2,2,1.0,D,2.3333333333333335,1.3333333333333335,True,True,True,True,False,False,False
17,176,177,67175,31,U,1,4,3.6666666666666665,U,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,176,177,67175,32,R,1,4,3.3333333333333335,R,3.3333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,33,L,1,2,3.6666666666666665,L,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,176,177,67175,34,L,4,4,1.9333333333333336,R,3.3333333333333335,1.4,False,True,True,True,False,False,False
17,176,177,67175,35,L,2,2,0.8666666666666667,R,3.6666666666666665,2.8,True,True,True,True,False,False,False
17,176,177,67175,36,U,2,3,0.7666666666666666,R,1.9333333333333336,1.166666666666667,True,True,True,True,False,False,False
17,176,177,67175,37,R,2,3,1.1666666666666667,D,1.2,0.033333333333333215,True,True,True,True,False,False,False
17,176,177,67175,38,U,2,3,0.7666666666666666,D,1.9333333333333336,1.166666666666667,True,True,True,True,False,False,False
17,176,177,67175,39,U,2,2,1.2,D,1.5,0.30000000000000004,True,True,True,True,False,False,False
17,176,177,67175,40,R,1,3,1.6,R,1.6,0.0,True,True,True,True,False,False,False
17,176,177,67175,41,R,1,3,2.3333333333333335,R,2.3333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,42,R,1,3,3.6666666666666665,R,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,176,177,67175,43,D,1,4,4.666666666666667,D,4.666666666666667,0.0,True,True,True,True,False,False,True
