grad,board_index,board_number,weight,solved,status,move_count,elapsed_seconds,moves
17,86,87,0.1,True,finished,41,5.56,LULURRRLLLDDDDUURRRRDDRDLLLUULURRLDDDRRUU
17,87,88,0.1,True,finished,65,15.27,DDDDDRLUURRLLUUUDDDDDRRRLLLUURRUUURRDRDDLLDRURUULDRDLUUULLDRURDDD
17,96,97,0.1,True,finished,37,2.14,RULDRURURDUUULDDRDLLDLLLUURDLUUURDDLD
17,106,107,0.1,True,finished,29,17.31,UUUUDDRDRRUULLRRRRUULDRDLLLDL
17,117,118,0.1,True,finished,28,1.45,LURRURRUULULLDURRDLRRDDLLULU
17,130,131,0.1,True,finished,28,5.88,ULURLDRDLLLURLLUURLDDRUULURR
17,147,148,0.1,True,finished,26,5.11,RRRRDDRDLDUUUULLDRURDDDRDL
17,148,149,0.1,True,finished,36,50.57,RRRUUURDLLLDRDRUURRDLULLDDRURULLDLUU
17,171,172,0.1,True,finished,35,18.66,LLLDRURDULDLLDDRUURRDDRDDLLLUUULURR
17,176,177,0.1,False,timeout,0,350.28,
16,0,1,0.25,True,finished,6,0.01,DRRURR
16,2,3,0.25,True,finished,14,0.03,LDRLURDRLDDRUR
16,3,4,0.25,True,finished,17,0.00,RLLUURRDRDLURDLUL
16,5,6,0.25,True,finished,22,0.03,RRRUULLRRDDLUDLLUURRDR
16,8,9,0.25,False,timeout,0,350.27,
16,9,10,0.25,True,finished,49,41.01,RDDUULURRDULDLUULLDRURDRDDDDDLDLLURRDRUUUUURULLLL
16,11,12,0.25,True,finished,14,0.08,DUURRDDLDLUURU
16,12,13,0.25,False,timeout,0,350.28,
16,13,14,0.25,False,timeout,0,350.31,
16,16,17,0.25,False,timeout,0,350.28,
16,17,18,0.25,True,finished,40,27.10,RRDULLRRDRRDDDDLLLULULUULURLLUURRDDDDLDR
16,19,20,0.25,True,finished,45,53.74,DRRDDLRURRRDRRUULULDRDLLLULDRDLRDDRDDLLLLUUUR
16,20,21,0.25,True,finished,60,54.79,DRRRDLDDUURULLLDRRLLRRDDRDLULLULDUURUUURURRDLLULDDDDDLDRRRDR
16,22,23,0.25,True,finished,73,104.26,LURRRDLLDLUURRRDRRRDRUDDLRDDDDLLLLURURRLDUURDLDLDRRUUUUURULLLULLDDUURRDDL
16,23,24,0.25,True,finished,17,0.01,RRULDRULDLDDRUURU
16,24,25,0.25,True,finished,48,50.63,RRDLURDDLLRRRRUDDDDLLULDLLUDLDURRRURURDRDLLLLLDL
16,25,26,0.25,False,timeout,0,350.30,
16,26,27,0.25,True,finished,19,0.06,DRDLUUUURRDLULDDDRD
16,27,28,0.25,True,finished,29,37.05,LULLLLURLULUURDRDDLDRRLDDRURU
16,29,30,0.25,True,finished,48,80.69,LLLRULLUURUURRLLUURDURRDLLULDDLDLDRUURRDLULDDDLD
16,30,31,0.25,False,timeout,0,350.21,
16,31,32,0.25,False,timeout,0,350.11,
16,32,33,0.25,True,finished,78,166.51,DDRDURURURRDLDLLURDRURRRDDLUDRDDDLLULRRURUUULLLDRRDDDUUULLLLULLDRRRRRURDDDRDLL
16,35,36,0.25,True,finished,44,66.58,DLUDRRRRLURRRURUULLUUDDDDRUUULULLLLDDRULURRR
16,37,38,0.25,False,timeout,0,350.31,
17,0,1,0.25,True,finished,48,3.25,LLLDDDRRRDDLLLLRRRRUULLLDURRRDDLURULLRDDLLUUUULU
17,1,2,0.25,True,finished,44,0.17,DDDDDRRRRRUULLUUDDRRULDLURRDDDLLLLLUUURRRRDR
17,6,7,0.25,True,finished,49,48.87,RDRLULLDRRRURUULLLUUDLDLDLURRRRUDRRULLULDRDLLLLUL
17,19,20,0.25,True,finished,49,44.24,RRDLULRDRRRRDRDRDDDLDLULLLLUURURRDLLULDDLDRRRRRDR
17,25,26,0.25,True,finished,41,33.85,LLULUUURDLUUURRRRDDRRLLUURRDULLLLLLDDRRRR
17,27,28,0.25,False,finished,0,247.37,
17,37,38,0.25,True,finished,72,118.43,DDUULRDDDULLLUURLDLLLDDLDDRRULDLURUUURRRDRRDLDLUURULLLULDDDDLDDURURDDRDL
17,41,42,0.25,True,finished,49,11.96,UURRDRDRDDLLLRRRUULDRDLDLLURRUUULULLDDLDDRRRDRUUU
17,42,43,0.25,True,finished,28,13.72,LURLDRURULUURRDLDDLDDRUUULUR
17,45,46,0.25,True,finished,26,2.91,LDDDUUURRDDDLLURLUURRDDLDR
17,46,47,0.25,False,finished,0,63.59,
17,48,49,0.25,True,finished,40,6.16,DDLDRUULLUULUURRRURDRDULLLLLDDRULURRRRDR
17,52,53,0.25,True,finished,41,19.74,DLLULUUULLDRLDDRDRRULLRUURRRUULDRDLLLLULD
17,73,74,0.25,True,finished,64,100.83,DRUDDRRURDLLLULLURURRRDULLLLLRDDDLDDRUUURRDLLRUURURRDDRDLLLLULDD
17,82,83,0.25,True,finished,33,4.23,LDDRUDLUUDRRURRDLLLDLDDRUULURRRUR
17,86,87,0.25,True,finished,31,1.29,LRRUDLDLUUDRRRUDDDRDLLLUULURRUR
17,87,88,0.25,True,finished,49,25.91,DDDDDRRRLLLUURRUUURRDRDDLLDRURUULDRDLUUULLDRURDDD
17,96,97,0.25,True,finished,41,16.93,LUULUURRLULDDDRLDRDRRRUULLLDLUUURDLDRRRDR
17,106,107,0.25,True,finished,27,24.49,UUUDRDRRUULLRRRRUULDRDLLLDL
17,117,118,0.25,True,finished,32,1.42,LUDLURRRURRUULULLDURRDLRRDDLLULU
17,130,131,0.25,True,finished,32,1.28,RUULDRUUDLDDRULLDLLURRRURUULLLDL
17,147,148,0.25,True,finished,38,1.01,DRDULDUURRDURRLRDDRDLDUUUULLDRURDDDRDL
17,148,149,0.25,True,finished,30,28.93,RRRUUURDLLLDRDLRRUURRDLLLDLUUU
17,171,172,0.25,True,finished,36,14.02,LLDLDDLDDRRRLLLRUUUDDDRRUUUUDRDRUULL
17,176,177,0.25,True,finished,43,83.64,DLDLLULULLDRRURDDRDRDDDLLDLUULURDDRRURUULUL
16,0,1,0.5,True,finished,10,0.01,LDRRUDRURR
16,2,3,0.5,True,finished,10,0.06,LDRRLDDRUR
16,3,4,0.5,True,finished,13,0.05,RLLUURRDRDLUL
16,5,6,0.5,True,finished,22,0.07,RRRUULLRRDDLUDLLUURRDR
16,8,9,0.5,False,timeout,0,350.28,
16,9,10,0.5,True,finished,51,26.38,UULLDRULLLRDRURRDLLURRRDRDLDDDDLDLLURRDRUUUUURULLLL
16,11,12,0.5,True,finished,24,0.08,URRDDUULLDDUURRDDLDLUURU
16,12,13,0.5,True,finished,45,66.41,RRDDLUDDDLDDDRRULULUURDDDRRRDRRULLLLDLUUUUURU
16,13,14,0.5,False,timeout,0,350.29,
16,16,17,0.5,False,timeout,0,350.33,
16,17,18,0.5,True,finished,40,27.05,RRDULLRRDRRDDDDLLLULULUULURLULURRDDDDLDR
16,19,20,0.5,True,finished,46,58.54,DRRDRUDDDDLLULURRURRRUURRDLDUULDRDLLLULDRDLLDL
16,20,21,0.5,True,finished,51,59.90,UURRRRRRDLULLLLDLDDDLDDRUUUUURURRDLLULDDDDDDLDRRRUR
16,22,23,0.5,True,finished,76,150.52,ULDDDRDDDRDRUDRRRRUUUULDLDRURDLLDURRDLULLDRURRDLLLLLDLUUUUURLDDRULULUURDDLDR
16,23,24,0.5,True,finished,23,0.01,RRULRDLLDDRLUURLDDRUURU
16,24,25,0.5,True,finished,44,53.12,LDDDURUURRDDRRDDDLLDLULLLDRRURRUURDRDLLLLLDL
16,25,26,0.5,False,finished,107,204.83,DDDRRDRULDULLUUUUURDUURDRRRRDRDDLUURULLRULDLLLULDLDDRDUULURRRRRLLLLDDRRDLLUUURRRRURDDRDDLUURULLLLLULDDDLDRR
16,26,27,0.5,True,finished,23,8.13,DDDRRLLUUUUURRDLULDDDRD
16,27,28,0.5,True,finished,29,37.72,LULLLLURLULUURDRDDLDRRLDDRURU
16,29,30,0.5,True,finished,36,50.29,UULLLDLDLLURUURRDLDLUDLLURRRDRUUUURU
16,30,31,0.5,False,timeout,0,350.24,
16,31,32,0.5,True,finished,57,35.13,RUUDDDLULRUDRDLUURULUUULULLDLDLDLDRDURUURURDUURRDDLLLULDD
16,32,33,0.5,True,finished,71,143.75,DRDRURURRDLLLLDDLDDDRRULUUURURRDLRURRRDDDDDLLULLLDLUUUDDRRRRRURUUULLLDL
16,35,36,0.5,True,finished,49,27.33,UDRRULDLDLUURRDRRRDRLUUURULUURDDRDDLDLUUUURULLLUL
16,37,38,0.5,False,timeout,0,350.33,
17,0,1,0.5,True,finished,48,2.54,LLLDDDRRRDDLLLLRRRRUULLLDURRRDDLURULLRDDLLUUUULU
17,1,2,0.5,True,finished,58,0.78,DDRLUURRRRLLLLDDDDDRRRRRUULLUUDDRRULDLURRDDDLLLLLUUURRRRDR
17,6,7,0.5,True,finished,39,50.10,RRURULLLUUDLDLDLURRRRUDRRULLULDRDLLLLUL
17,19,20,0.5,True,finished,43,50.63,RRDRRRDRDRDDDLULDLLLLUURURRDLLULDDLDRRRRRUR
17,25,26,0.5,True,finished,37,34.49,UULLLUUUURRRRDDRRLLUURRDULLLLLLDDRRRR
17,27,28,0.5,False,timeout,0,350.08,
17,37,38,0.5,True,finished,60,82.69,LLDLDDRDRDRDDLLLLLUUULUUURRRDDRDRRULLDLUURULLLULDDDLDDRRULDL
17,41,42,0.5,True,finished,49,11.90,UURRDRDRDDLLLRRRUULDRDLDLLURRUUULULLDDLDDRRRDRUUU
17,42,43,0.5,True,finished,26,2.82,DRURUDLULUUURRDLDLDDRUULUR
17,45,46,0.5,True,finished,36,2.77,URRDLLURLLDDDDUUURRDDDLLURLUURRDDLDR
17,46,47,0.5,True,finished,44,42.20,RRDDRRRDLDURUUULDDLLUULLDDRRRRLDDRURULLLLULD
17,48,49,0.5,True,finished,34,15.68,DLLUULUURRRURDRDULLLLLDDRULURRRRDR
17,52,53,0.5,True,finished,43,8.68,DLLLUUUULLDDDRLUUURRDLRRRRUULDRDLLLULLDRURD
17,73,74,0.5,False,finished,138,261.17,URRRRDDDUUULLLLDDRDULLUDDLDDRUUURRDLUUURRRRDDDLLLRRURUULDULLLLLRRDDRULURDDDRRUDLLULLURULDDDRLLDDDURUURRRLUUURRDRDDLLLLLURRUURRDDRDLLLLULDD
17,82,83,0.5,True,finished,33,3.91,RRLLLDDRULRRURRDLLLDLDDRUULURRRUR
17,86,87,0.5,True,finished,19,6.80,RRUDDDRDLLLUULURRUR
17,87,88,0.5,True,finished,53,27.68,DDDRRLLDDRRRLLLUURRUUURRDRDDLLDRURUULDRDLUUULLDRURDDD
17,96,97,0.5,True,finished,25,7.01,RLLLUURRRRLLLLUURDLDRRRDR
17,106,107,0.5,True,finished,35,11.60,RRRUUULLDDRDLRRRLLURUURRUULDRDLLLDL
17,117,118,0.5,True,finished,32,1.46,LLUDRURRURRUULULLDRLLDDDRRUURULL
17,130,131,0.5,True,finished,24,0.12,RUUDLDLLLUDRRRURUUULLLDL
